region,org_id,alternatenames,pdb_org_id,state,ix_id,url,pch_id,geo_id,city,iata,prefixes,latitude,pdb_id,country,longitude,name,address,sources,zipcode
Europe,8440,['BroadBand Internet eXchange Amsterdam'],8440,,1180,https://www.bbix.net/en/,,2759794,Amsterdam,,"{'ipv4': ['101.203.78.0/24'], 'ipv6': ['2403:c780:7200:b078::/64']}",,3190,NL,,BBIX Amsterdam,Science Park 121,['pdb'],1098 XG
North America,8440,['BroadBand Internet eXchange Chicago'],8440,IL,1181,https://www.bbix.net/en/,,4887398,Chicago,,"{'ipv4': ['101.203.75.0/24'], 'ipv6': ['2403:c780:7200:b075::/64']}",,3187,US,,BBIX Chicago,350 E Cermak Rd5th Floor / 6th Floor / 8th Floor,"['he', 'pdb']",60616-1568
North America,8440,['BroadBand Internet eXchange Dallas'],8440,TX,1182,https://www.bbix.net/en/,,4684888,Dallas,,"{'ipv4': ['101.203.73.0/24'], 'ipv6': ['2403:c780:7200:b073::/64']}",,3186,US,,BBIX Dallas,1950 N Stemmons Fwy,"['he', 'pdb']",75207-3134
Asia-Pacific,8440,['BroadBand Internet eXchange Fukuoka'],8440,Fukuoka,38,https://www.bbix.net/,141,1863967,Fukuoka,,"{'ipv4': ['101.203.104.0/24'], 'ipv6': ['2001:de8:c:4::/64']}",,3722,JP,,BBIX Fukuoka,,"['pdb', 'he', 'pch']",
Asia-Pacific,8440,['BroadBand Internet eXchange Hong Kong'],8440,,39,https://www.bbix.net/en/,1836,,,HKG2,"{'ipv4': ['103.203.158.0/23'], 'ipv6': ['2403:c780:b800:bb00::/64']}",,1449,,,BBIX Hong Kong,,"['pdb', 'he', 'pch']",
Europe,8440,['BroadBand Internet eXchange London'],8440,,1183,https://www.bbix.net/en/,,2643743,London,,"{'ipv4': ['101.203.76.0/24'], 'ipv6': ['2403:c780:7200:b076::/64']}",51.48000,3189,GB,-0.45000,BBIX London,14 Coriander Avenue,"['he', 'pdb']",E14 2AA
North America,8440,"['BBIX US-West', 'BroadBand Internet eXchange US-West']",8440,CA,1184,https://www.bbix.net/en/,,,,,"{'ipv4': ['101.203.74.0/24'], 'ipv6': ['2403:c780:7200:b074::/64']}",,3185,US,,BBIX Los Angeles,,"['he', 'pdb']",
Asia-Pacific,8440,[],8440,,1664,https://www.bbix.net/,,,,,"{'ipv4': ['101.203.80.0/23', '101.203.86.0/23'], 'ipv6': ['2001:de8:c:240::/64', '2001:de8:c:241::/64']}",,4067,JP,,BBIX MAPS,,"['he', 'pdb']",
Asia-Pacific,8440,[],8440,,1785,https://bbix.com.ph,,,,,"{'ipv4': ['61.245.0.0/22'], 'ipv6': ['2001:ded:4000::/64']}",,4274,PH,,BBIX Manila,,"['he', 'pdb']",
Europe,8440,['BroadBand Internet eXchange Marseille'],8440,,1185,https://www.bbix.net/en/,,2995469,Marseille,,"{'ipv4': ['101.203.77.0/24'], 'ipv6': ['2403:c780:7200:b077::/64']}",,3191,FR,,BBIX Marseille,"MRS1: 40 Avenue Roger SalengroMRS2/3: Port of Marseille, Gate 4; Chemin du Littoral","['he', 'pdb']",MRS1: 13003  MRS2/3: 13015
North America,8440,['BroadBand Internet eXchange Miami'],8440,,1186,https://www.bbix.net/en/,,,,,"{'ipv4': ['101.203.72.0/24'], 'ipv6': ['2403:c780:7200:b072::/64']}",,3188,US,,BBIX Miami,,"['he', 'pdb']",
