zipcode,longitude,pdb_org_id,address,country,city,pdb_fac_id,name,num_ixs,state,fac_id,sources,clli,geo_id,latitude,alternatenames
MRS1: 13003  MRS2/3: 13015,5.373865,8592,"MRS1: 40 Avenue Roger SalengroMRS2/3: Port of Marseille, Gate 4; Chemin du Littoral",FR,Marseille,226,Digital Realty Marseille MRS1-3,7,,136,['pdb'],,2995469,43.310818,[]
59000,3.090551,365,72 rue Jenner,FR,Lille,230,Cogent Lille,1,,1280,['pdb'],,2998324,50.63768,[]
67000,7.781145,11780,1 rue du Havre,FR,Strasbourg,233,SFR Netcenter Strasbourg,1,,1717,['pdb'],,2973783,48.569149,[]
1217 ZC,5.169722,7200,Koos Postemalaan 2,NL,Hilversum,235,Mediagateway,1,NH,137,['pdb'],,2754064,52.241526,[]
1042 AC,4.842597,8592,Gyroscoopweg 60-62,NL,Amsterdam,236,"Digital Realty Amsterdam AMS1, AMS4",1,,138,['pdb'],AMSTNL,2759794,52.399861,[]
1119 PD,4.750866,410,Boeing Avenue 271,NL,Amsterdam,237,Schuberg Philis Amsterdam (Schiphol Rijk),2,,139,['pdb'],AMSTNL,2759794,52.274896,[]
1438 AN,4.788162,4570,Fokkerweg 300,NL,Oude Meer,238,NorthC Oude Meer,1,Noord-Holland,140,['pdb'],AMSTNL,2749063,52.29257,[]
1431 GE,4.774186,4570,Lakenblekerstraat 13,NL,Aalsmeer,239,NorthC Aalsmeer,1,Noord-Holland,141,['pdb'],,2760134,52.259795,[]
34070,,365,189 place du 56e Régiment d'Artillerie,FR,Montpellier,252,Cogent Montpellier,1,,1281,['pdb'],,2992166,,[]
EC2A 4HB,-0.082993,9597,80 Clifton Street,GB,London,254,Redcentric London Data Centre,,,142,['pdb'],LONDEN,2643743,51.522955,[]
16440,17.943347,343,Borgafjordsgatan 15,SE,Stockholm,258,"STOKAB KN3, Kista",,,143,['pdb'],,2673730,59.405682,[]
31200,1.423103,365,125bis ch du Sang de Serp,FR,Toulouse,266,Cogent Toulouse,1,,144,['pdb'],,2972315,43.620447,[]
43219,-82.994861,470,251 Neilston St.,US,Columbus,267,Citynet Columbus,1,OH,145,['pdb'],CLMCOH,4509177,39.968171,[]
EH129LB,-3.295901,7980,"The Clocktower Estate, Flassches YardSouth Gyle Crescent",GB,Edinburgh,271,Pulsant Edinburgh South Gyle,1,,146,['pdb'],,2650225,55.930562,[]
40472,6.81752,7459,Am Gatherhof 44,DE,Düsseldorf,274,"myLoc Datacenter DUS1, DUS2, DUS3, DUS4, DUS6, DUS7",7,NRW,147,['pdb'],,2934246,51.267301,[]
